date,home_team,away_team,home_score,away_score,advanced,tournament,city,country,neutral,result_note,decided_in
2026-06-19,Brazil,Haiti,3,0,,FIFA World Cup,Philadelphia,United States,TRUE,,
2026-06-19,USA,Australia,2,0,,FIFA World Cup,Seattle,United States,FALSE,,
2026-06-19,Turkey,Paraguay,0,1,,FIFA World Cup,Santa Clara,United States,TRUE,,
2026-06-20,Germany,Ivory Coast,2,1,,FIFA World Cup,Toronto,Canada,TRUE,,
2026-06-20,Ecuador,Curaçao,0,0,,FIFA World Cup,Kansas City,United States,TRUE,,
2026-06-20,Netherlands,Sweden,5,1,,FIFA World Cup,Houston,United States,TRUE,,
2026-06-20,Tunisia,Japan,0,4,,FIFA World Cup,Guadalupe,Mexico,TRUE,,
2026-06-21,Belgium,Iran,0,0,,FIFA World Cup,Inglewood,United States,TRUE,,
2026-06-21,New Zealand,Egypt,1,3,,FIFA World Cup,Vancouver,Canada,TRUE,,
2026-06-21,Spain,Saudi Arabia,4,0,,FIFA World Cup,Atlanta,United States,TRUE,,
2026-06-21,Uruguay,Cape Verde,2,2,,FIFA World Cup,Miami Gardens,United States,TRUE,,
2026-06-22,France,Iraq,3,0,,FIFA World Cup,Philadelphia,United States,TRUE,,
2026-06-22,Norway,Senegal,3,2,,FIFA World Cup,East Rutherford,United States,TRUE,,
2026-06-22,Argentina,Austria,2,0,,FIFA World Cup,Arlington,United States,TRUE,,
2026-06-22,Jordan,Algeria,1,2,,FIFA World Cup,Santa Clara,United States,TRUE,,
2026-06-23,Portugal,Uzbekistan,5,0,,FIFA World Cup,Houston,United States,TRUE,,
2026-06-23,Colombia,DR Congo,1,0,,FIFA World Cup,Zapopan,Mexico,TRUE,,
2026-06-23,England,Ghana,0,0,,FIFA World Cup,Foxborough,United States,TRUE,,
2026-06-23,Panama,Croatia,0,1,,FIFA World Cup,Toronto,Canada,TRUE,,
2026-06-24,Mexico,Czech Republic,3,0,,FIFA World Cup,Mexico City,Mexico,FALSE,,
2026-06-24,South Africa,South Korea,1,0,,FIFA World Cup,Guadalupe,Mexico,TRUE,,
2026-06-24,Canada,Switzerland,1,2,,FIFA World Cup,Vancouver,Canada,FALSE,,
2026-06-24,Bosnia and Herzegovina,Qatar,3,1,,FIFA World Cup,Seattle,United States,TRUE,,
2026-06-24,Scotland,Brazil,0,3,,FIFA World Cup,Miami Gardens,United States,TRUE,,
2026-06-24,Morocco,Haiti,4,2,,FIFA World Cup,Atlanta,United States,TRUE,,
2026-06-25,USA,Turkey,2,2,,FIFA World Cup,Inglewood,United States,FALSE,,
2026-06-25,Paraguay,Australia,0,0,,FIFA World Cup,Santa Clara,United States,TRUE,,
2026-06-25,Curaçao,Ivory Coast,0,2,,FIFA World Cup,Philadelphia,United States,TRUE,,
2026-06-25,Ecuador,Germany,2,1,,FIFA World Cup,East Rutherford,United States,TRUE,,
2026-06-25,Japan,Sweden,1,1,,FIFA World Cup,Arlington,United States,TRUE,,
2026-06-25,Tunisia,Netherlands,1,3,,FIFA World Cup,Kansas City,United States,TRUE,,
2026-06-26,Egypt,Iran,1,1,,FIFA World Cup,Seattle,United States,TRUE,,
2026-06-26,New Zealand,Belgium,1,5,,FIFA World Cup,Vancouver,Canada,TRUE,,
2026-06-26,Cape Verde,Saudi Arabia,0,0,,FIFA World Cup,Houston,United States,TRUE,,
2026-06-26,Uruguay,Spain,0,1,,FIFA World Cup,Zapopan,Mexico,TRUE,,
2026-06-26,Norway,France,1,4,,FIFA World Cup,Foxborough,United States,TRUE,,
2026-06-26,Senegal,Iraq,5,0,,FIFA World Cup,Toronto,Canada,TRUE,,
2026-06-27,Algeria,Austria,3,3,,FIFA World Cup,Kansas City,United States,TRUE,,
2026-06-27,Jordan,Argentina,1,3,,FIFA World Cup,Arlington,United States,TRUE,,
2026-06-27,Colombia,Portugal,0,0,,FIFA World Cup,Miami Gardens,United States,TRUE,,
2026-06-27,DR Congo,Uzbekistan,3,1,,FIFA World Cup,Atlanta,United States,TRUE,,
2026-06-27,Panama,England,0,2,,FIFA World Cup,East Rutherford,United States,TRUE,,
2026-06-27,Croatia,Ghana,2,1,,FIFA World Cup,Philadelphia,United States,TRUE,,
2026-06-28,South Africa,Canada,0,1,Canada,FIFA World Cup,,,TRUE,,
2026-06-29,Brazil,Japan,2,1,Brazil,FIFA World Cup,,,TRUE,,
2026-06-29,Germany,Paraguay,1,1,Paraguay,FIFA World Cup,,,TRUE,Paraguay won 3-4 on penalties,pens
2026-06-29,Netherlands,Morocco,1,1,Morocco,FIFA World Cup,,,TRUE,Morocco won 2-3 on penalties,pens
2026-06-30,Ivory Coast,Norway,1,2,Norway,FIFA World Cup,,,TRUE,,
2026-06-30,France,Sweden,3,0,France,FIFA World Cup,,,TRUE,,
2026-06-30,Mexico,Ecuador,2,0,Mexico,FIFA World Cup,,,TRUE,,
2026-07-01,England,DR Congo,2,1,England,FIFA World Cup,,,TRUE,,
2026-07-01,Belgium,Senegal,3,2,Belgium,FIFA World Cup,,,TRUE,After extra time (2–2 at 90'),et
2026-07-01,USA,Bosnia and Herzegovina,2,0,USA,FIFA World Cup,,,TRUE,,
2026-07-02,Spain,Austria,3,0,Spain,FIFA World Cup,,,TRUE,,
2026-07-02,Portugal,Croatia,2,1,Portugal,FIFA World Cup,,,TRUE,,
2026-07-02,Switzerland,Algeria,2,0,Switzerland,FIFA World Cup,,,TRUE,,
2026-07-03,Australia,Egypt,1,1,Egypt,FIFA World Cup,,,TRUE,Egypt won 4-2 on penalties,pens
2026-07-03,Argentina,Cape Verde,3,2,Argentina,FIFA World Cup,,,TRUE,After extra time (1–1 at 90'),et
2026-07-03,Colombia,Ghana,1,0,Colombia,FIFA World Cup,,,TRUE,,
2026-07-04,Canada,Morocco,0,3,Morocco,FIFA World Cup,,,TRUE,,
2026-07-04,Paraguay,France,0,1,France,FIFA World Cup,,,TRUE,,
2026-07-05,Brazil,Norway,1,2,Norway,FIFA World Cup,,,TRUE,,
2026-07-05,Mexico,England,2,3,England,FIFA World Cup,,,TRUE,,
2026-07-06,Portugal,Spain,0,1,Spain,FIFA World Cup,,,TRUE,,
2026-07-06,USA,Belgium,1,4,Belgium,FIFA World Cup,,,TRUE,,
2026-07-07,Argentina,Egypt,3,2,Argentina,FIFA World Cup,,,TRUE,,
2026-07-07,Switzerland,Colombia,0,0,Switzerland,FIFA World Cup,,,TRUE,Switzerland won 4-3 on penalties,pens
2026-07-09,France,Morocco,2,0,France,FIFA World Cup,,,TRUE,,
